workerid,bid_placed,dispersion,condition,memory_max_bid,above_actual_max,excluded
A3763UAO2HCBUG,39.0,Higher,Higher Dispersion,38.0,True,False
A3QF7C3MP3AL8F,43.0,Higher,Higher Dispersion,37.0,False,False
A283Z0YWQIEYUM,40.0,Lower,Lower Dispersion,34.0,False,False
APCQECEBGNWZK,39.0,Lower,Lower Dispersion,37.0,False,False
A1DVND6M3FKF2O,40.0,Lower,Lower Dispersion,36.0,False,False
A2FO9WTRQNDEBL,48.0,Higher,Higher Dispersion,47.0,True,False
A207RKO5B4ZJK6,60.0,Higher,Higher Dispersion,37.0,False,True
A2VDN3RMW9K1JF,39.0,Lower,Lower Dispersion,34.0,False,False
A1BD1GI273RPFF,20.0,Lower,Lower Dispersion,32.0,False,False
A3KGH3SSG4RETP,12.0,Higher,Higher Dispersion,25.0,False,True
A1EAIXWWNH7Q56,45.0,Higher,Higher Dispersion,37.0,False,True
A2MHY064OSYIBI,45.0,Lower,Lower Dispersion,37.0,False,False
A1E2564JNF0CVJ,40.0,Lower,Lower Dispersion,37.0,False,False
A1YC1YOH2SLXNO,38.0,Lower,Lower Dispersion,37.0,False,False
A2F7C9X47P6ZJW,44.0,Lower,Lower Dispersion,36.0,False,False
A19RVLA4YJWRCP,41.0,Lower,Lower Dispersion,37.0,False,False
A3HANLW5QDJHI6,39.0,Higher,Higher Dispersion,37.0,False,True
A26USCGN6D7V13,40.0,Lower,Lower Dispersion,37.0,False,False
A3H6XDREWIK54G,38.0,Lower,Lower Dispersion,37.0,False,False
A33U5MY94LUBW7,40.0,Lower,Lower Dispersion,37.0,False,False
A60RD6O6XQORX,60.0,Higher,Higher Dispersion,32.0,False,True
A1JCKAOZCEYUFT,32.0,Higher,Higher Dispersion,27.0,False,True
A1GWP1FQ8P3S42,32.0,Lower,Lower Dispersion,1.0,False,True
A2I3IM3RJO2OL0,45.0,Higher,Higher Dispersion,37.0,False,False
AVF8EZOYPZKJ1,40.0,Lower,Lower Dispersion,37.0,False,False
A3TOOH3HTI13RA,41.0,Lower,Lower Dispersion,37.0,False,False
A1LUQIJV4PUJFJ,46.0,Lower,Lower Dispersion,31.0,False,True
A1QFOVRZ4W5SKA,35.0,Higher,Higher Dispersion,34.0,False,True
A35BVBHI6OFYSQ,56.0,Higher,Higher Dispersion,37.0,False,False
A1CRFQ005ZOEQB,51.0,Lower,Lower Dispersion,35.0,False,True
A3IOMVS8XJUMZ6,39.0,Lower,Lower Dispersion,37.0,False,True
ADT66SZGDOTR7,60.0,Lower,Lower Dispersion,45.0,True,True
A3U1BC4D0I90TL,40.0,Lower,Lower Dispersion,37.0,False,False
A22VQ7PMFNS2KB,40.0,Lower,Lower Dispersion,37.0,False,False
AW8909TGQHFSV,40.0,Higher,Higher Dispersion,37.0,False,False
AM2X3KJV9OQ50,38.0,Lower,Lower Dispersion,35.0,False,True
A6UD6MTO96IEU,45.0,Lower,Lower Dispersion,37.0,False,True
A3G2BXCJ7TG2O6,38.0,Lower,Lower Dispersion,37.0,False,True
A14EY6UQHIG3II,39.0,Higher,Higher Dispersion,37.0,False,True
ATTMBWVGCN075,60.0,Higher,Higher Dispersion,37.0,False,False
A3QHBISWW2TCWZ,38.0,Higher,Higher Dispersion,37.0,False,False
A11SVF9ZNHO1EW,39.0,Higher,Higher Dispersion,37.0,False,True
A2U10HNS26A2V9,40.0,Lower,Lower Dispersion,37.0,False,True
A3GU3X56A2IYWH,40.0,Lower,Lower Dispersion,37.0,False,False
A2TDVRXLX8TP2V,56.0,Lower,Lower Dispersion,37.0,False,False
AZT8TLERIDJUA,38.0,Higher,Higher Dispersion,37.0,False,False
A12M263AHICZN,42.0,Higher,Higher Dispersion,52.0,True,False
A19MNFI7HFHDP3,60.0,Lower,Lower Dispersion,37.0,False,True
A1871VK7VQ96YR,38.0,Lower,Lower Dispersion,27.0,False,True
ACRA4Y46MZXKX,38.0,Lower,Lower Dispersion,36.0,False,False
A3FVLVZL7ZEVWE,38.0,Higher,Higher Dispersion,37.0,False,False
AMGF5CC5PRV7Q,45.0,Lower,Lower Dispersion,34.0,False,False
A3I62460289O85,59.0,Higher,Higher Dispersion,55.0,True,True
A1RKN4O86WIQSE,60.0,Higher,Higher Dispersion,38.0,True,False
A29544XMHGJFXO,40.0,Higher,Higher Dispersion,37.0,False,True
A1TYOYOVSFXDZA,40.0,Higher,Higher Dispersion,37.0,False,True
AP2EXRF91ZN,45.0,Lower,Lower Dispersion,37.0,False,False
A2OR58KLVHCJN6,38.0,Lower,Lower Dispersion,37.0,False,True
AT9LCYJ3YUKHQ,38.0,Lower,Lower Dispersion,37.0,False,False
A3EXTSIMHVN6NO,35.0,Lower,Lower Dispersion,34.0,False,True
A1NT279RJ0FE7T,60.0,Higher,Higher Dispersion,36.0,False,False
A17PWZJA2IW8LM,40.0,Lower,Lower Dispersion,37.0,False,False
A1ZXSKMPJKXDOI,41.0,Higher,Higher Dispersion,37.0,False,False
A3RPUGZO1VM69,39.0,Higher,Higher Dispersion,37.0,False,False
A38RANAPIANAAA,40.0,Lower,Lower Dispersion,37.0,False,False
AQCTBQGSOHPKI,53.0,Higher,Higher Dispersion,39.0,True,True
A1F3T7QDY503UP,32.0,Lower,Lower Dispersion,37.0,False,True
A2EHOTPXWIPR7T,40.0,Lower,Lower Dispersion,37.0,False,False
A33BCSWK3ZO7UI,39.0,Lower,Lower Dispersion,37.0,False,True
AUXMSHX90GYCC,35.0,Lower,Lower Dispersion,33.0,False,True
A2MM4PR7DC55FY,40.0,Higher,Higher Dispersion,37.0,False,False
A1P14N5TF1M7BL,35.0,Higher,Higher Dispersion,47.0,True,True
APAJPQPDPFGYA,29.0,Higher,Higher Dispersion,42.0,True,True
A22R9FW4JA9OIZ,41.0,Higher,Higher Dispersion,37.0,False,False
A3L9VMKSTT7RQN,60.0,Lower,Lower Dispersion,37.0,False,False
A1I7GXF2RVPBAK,60.0,Higher,Higher Dispersion,50.0,True,True
A2B2I8NTU97S3U,60.0,Higher,Higher Dispersion,37.0,False,False
AH8YJA4QTHCD1,60.0,Lower,Lower Dispersion,37.0,False,True
A3PZKOCRVCTFEP,38.0,Lower,Lower Dispersion,36.0,False,False
AW39OOSIGXHB0,40.0,Higher,Higher Dispersion,37.0,False,False
A18O7TT0VEMUKC,45.0,Higher,Higher Dispersion,37.0,False,False
A1TEXCUTI4IUUN,45.0,Higher,Higher Dispersion,37.0,False,False
A21HEJVW2EV0ON,59.0,Higher,Higher Dispersion,50.0,True,True
A2ZGPD7WMJFOOK,48.0,Lower,Lower Dispersion,38.0,True,True
A1HWCKHNQZL8UJ,40.0,Higher,Higher Dispersion,37.0,False,False
A8YSI4EZ5Q4FJ,60.0,Higher,Higher Dispersion,36.0,False,True
ABXA5YDTE80PS,53.0,Higher,Higher Dispersion,36.0,False,True
A3C2RNGDLA3MH,60.0,Lower,Lower Dispersion,37.0,False,False
A39XWHJWU25EW7,40.0,Lower,Lower Dispersion,37.0,False,False
A3PZ0HF6DCIJ5Z,33.0,Lower,Lower Dispersion,32.0,False,False
ADC1059PV4JTZ,34.0,Lower,Lower Dispersion,31.0,False,True
A1QHEGQIWUO46H,38.0,Lower,Lower Dispersion,37.0,False,False
AV9Q7SZRVLETZ,40.0,Lower,Lower Dispersion,36.0,False,True
A200QDO8WE5TFK,55.0,Lower,Lower Dispersion,37.0,False,False
A1ES15EENFWRDH,46.0,Lower,Lower Dispersion,37.0,False,False
A12KYOMRAHRP9L,40.0,Lower,Lower Dispersion,37.0,False,False
A2PVZTZDZSRAI1,38.0,Lower,Lower Dispersion,37.0,False,False
ABZFEKECGO2O7,40.0,Higher,Higher Dispersion,37.0,False,False
A24YVGJS8GYBP6,40.0,Lower,Lower Dispersion,39.0,True,False
A1IY5GFG9BOFTU,39.0,Higher,Higher Dispersion,37.0,False,False
A1SU04036SY9OW,40.0,Higher,Higher Dispersion,42.0,True,True
A13S6IXY8XVPSH,45.0,Higher,Higher Dispersion,42.0,True,True
A2EMVL9KAQZ54T,42.0,Lower,Lower Dispersion,37.0,False,True
ADK1GYRSTBQD3,42.0,Higher,Higher Dispersion,39.0,True,True
A28XR7YT0LS4G7,42.0,Lower,Lower Dispersion,37.0,False,False
A3HBHGYBOOBHYM,60.0,Lower,Lower Dispersion,37.0,False,False
A2AYCB8ZSGSZQS,30.0,Higher,Higher Dispersion,50.0,True,True
A3ACSVUU6YI92U,45.0,Lower,Lower Dispersion,37.0,False,False
A33F1IOS07WYCJ,40.0,Higher,Higher Dispersion,37.0,False,False
A06624421O37QN58OEOCJ,40.0,Lower,Lower Dispersion,33.0,False,True
A2ICBXV82V8TY5,38.0,Lower,Lower Dispersion,36.0,False,False
ADHTG6EA2H4FR,39.0,Lower,Lower Dispersion,36.0,False,False
A29B8VGYURVM0E,46.0,Higher,Higher Dispersion,45.0,True,True
A3L54R173LQ4X2,40.0,Lower,Lower Dispersion,37.0,False,True
A3PL7IR5UIJF00,49.0,Lower,Lower Dispersion,39.0,True,True
A1P6LILHQ0C3KV,40.0,Lower,Lower Dispersion,37.0,False,False
A6VEBZOL6ZSXB,39.0,Lower,Lower Dispersion,37.0,False,True
A9J6AZO6A9CNM,60.0,Higher,Higher Dispersion,37.0,False,False
A38NYF6R4GUR94,49.0,Higher,Higher Dispersion,37.0,False,False
A16AQAXVYIXJT5,40.0,Lower,Lower Dispersion,37.0,False,False
A270LMPYJ5LUYU,60.0,Higher,Higher Dispersion,59.0,True,True
A1XWKIFHH6DCHD,38.0,Higher,Higher Dispersion,37.0,False,False
A3UW11Z1TSMAEU,50.0,Higher,Higher Dispersion,40.0,True,True
A21OI3HYUF3J07,40.0,Lower,Lower Dispersion,37.0,False,False
A2ZZQPN0DTYSS4,45.0,Lower,Lower Dispersion,37.0,False,False
A1LFBI03BEIZ68,50.0,Higher,Higher Dispersion,45.0,True,True
AP5HKMVAWXDZ8,38.0,Lower,Lower Dispersion,37.0,False,True
A2K9GTLNTRZTEZ,40.0,Higher,Higher Dispersion,46.0,True,True
A3C9Q2XDTZ3Y01,50.0,Higher,Higher Dispersion,47.0,True,False
A1DEDPPSLYETG3,38.0,Higher,Higher Dispersion,37.0,False,False
A2DYXKOHDDY9EG,40.0,Lower,Lower Dispersion,37.0,False,False
AOK761ZJV1FRE,50.0,Lower,Lower Dispersion,37.0,False,False
A2IQFGFVT5125S,60.0,Higher,Higher Dispersion,38.0,True,False
A187O51VXNY169,57.0,Higher,Higher Dispersion,37.0,False,True
A3JYTT5ZHFKR7A,39.0,Lower,Lower Dispersion,37.0,False,False
AZ4HOU8N4FZ53,37.0,Lower,Lower Dispersion,36.0,False,False
AG1OG2FU9F09G,38.0,Higher,Higher Dispersion,37.0,False,False
A1RV4N0XTN61GD,39.0,Lower,Lower Dispersion,37.0,False,False
A2WC8DV7EB0FOY,40.0,Lower,Lower Dispersion,60.0,True,True
AODANWH0HK3JK,10.0,Higher,Higher Dispersion,60.0,True,True
AKCAFGXSMNQOA,23.0,Lower,Lower Dispersion,60.0,True,True
A175RKEJGJU5K7,38.0,Lower,Lower Dispersion,37.0,False,True
A1CA6ZXKK09ZRI,40.0,Higher,Higher Dispersion,39.0,True,True
A3CRUP15LA6ZB,2.0,Lower,Lower Dispersion,32.0,False,True
A21QJYYUY3QONX,60.0,Lower,Lower Dispersion,43.0,True,True
